ล๊อตที่ - ชุดที่,เลขที่โฉนด,ลำดับที่การขาย,หมายเลขคดี,ประเภททรัพย์,ไร่,งาน,ตร.วา,ราคาประเมิน,ตำบล,อำเภอ,จังหวัด
อุดร1/64-นัดแรก21ต.ค.63,50669,1622/2558,ที่ดินว่างเปล่า,1,0,0,"400,000.00",กุมภวาปี,กุมภวาปี,อุดรธานี
อุดร1/64-นัดแรก21ต.ค.63,14840,ผบ.244/2555,ที่ดินว่างเปล่า,0,1,0,"399,200.00",พังงู,หนองหาน,อุดรธานี
อุดร1/64-นัดแรก21ต.ค.63,37031,ผบ.1472/2560,ที่ดินว่างเปล่า,12,0,67,"973,400.00",โคกกลาง,เพ็ญ,อุดรธานี
อุดร1/64-นัดแรก21ต.ค.63,55221,3491/2551,ที่ดินว่างเปล่า,10,1,7,"410,700.00",เสอเพลอ,กุมภวาปี,อุดรธานี
อุดร1/64-นัดแรก21ต.ค.63,4632,ผบ.10297/2560,ที่ดินว่างเปล่า,2,1,26,"111,120.00",ผาสุก,กุมภวาปี,อุดรธานี
อุดร1/64-นัดแรก21ต.ค.63,2710,1570/2562,ที่ดินว่างเปล่า,1,0,0,"800,000.00",ดอนกลอย,พิบูลย์รักษ์,อุดรธานี
อุดร1/64-นัดแรก21ต.ค.63,9936,ผบ.128/2560,ที่ดินว่างเปล่า,13,0,20,"678,600.00",บ้านชัย,บ้านดุง,อุดรธานี
อุดร1/64-นัดแรก21ต.ค.63,17581,2198/2548,ที่ดินว่างเปล่า,10,2,0,"1,050,000.00",สุมเส้า,เพ็ญ,อุดรธานี
อุดร1/64-นัดแรก21ต.ค.63,4291,ผบ.3407/2552,ที่ดินว่างเปล่า,0,0,90,"90,000.00",ทับกุง,หนองแสง,อุดรธานี
อุดร1/64-นัดแรก21ต.ค.63,40885,ผบ.891/2555,ที่ดินว่างเปล่า,8,3,14,"1,765,000.00",เวียงคำ,กุมภวาปี,อุดรธานี
อุดร1/64-นัดแรก21ต.ค.63,457,2505/2546,ที่ดินว่างเปล่า,19,3,20,"30,096,000.00",เชียงพิณ,เมือง,อุดรธานี
อุดร1/64-นัดแรก21ต.ค.63,5027,2141/2559,ที่ดินว่างเปล่า,0,0,75,"112,500.00",ไชยวาน,ไชยวาน,อุดรธานี
อุดร1/64-นัดแรก21ต.ค.63,9816,2029/2561,ที่ดินว่างเปล่า,5,1,32,"319,800.00",โพนสูง,บ้านดุง,อุดรธานี
อุดร1/64-นัดแรก21ต.ค.63,3235,ผบ.297/2557,ที่ดินว่างเปล่า,16,3,55,"1,688,750.00",บ้านผือ,บ้านผือ,อุดรธานี
อุดร1/64-นัดแรก21ต.ค.63,11995,ผบ.5300/2556,ที่ดินว่างเปล่า,0,1,5,"126,000.00",ห้วยเกิ้ง,กุมภวาปี,อุดรธานี
อุดร1/64-นัดแรก21ต.ค.63,1186,ผบ.393/2555,ที่ดินว่างเปล่า,0,2,52,"151,200.00",คำบง,บ้านผือ,อุดรธานี
อุดร1/64-นัดแรก21ต.ค.63,43975,ผบ.3696/2562,ที่ดินว่างเปล่า,5,0,0,"400,000.00",สุมเส้า,เพ็ญ,อุดรธานี
อุดร1/64-นัดแรก21ต.ค.63,3887,ผบ.1095/2557,ที่ดินว่างเปล่า,0,1,71,"85,500.00",โคกกลาง,เพ็ญ,อุดรธานี
อุดร1/64-นัดแรก21ต.ค.63,23777,4224/2551,ที่ดินว่างเปล่า,1,3,43,"222,900.00",กลางใหญ่,บ้านผือ,อุดรธานี
อุดร1/64-นัดแรก21ต.ค.63,9811,ผบ.1626/2561,ที่ดินว่างเปล่า,2,2,82,"1,352,500.00",วังสามหมอ,วังสามหมอ,อุดรธานี
